"id_account","execution_date","type","amount_ars","amount_usd"
1001,2024-03-18,invest,5780.0,0.0
1001,2024-03-31,invest,7655.0,0.0
1001,2024-03-27,deposit,23386.0,0.0
1001,2024-06-06,deposit,33097.0,0.0
1001,2024-05-16,invest,34621.0,0.0
1001,2024-05-01,invest,23677.0,0.0
1001,2024-05-08,card_spend,-32024.0,0.0
1001,2024-05-02,deposit,30749.0,0.0
1001,2024-05-03,deposit,49747.0,0.0
1001,2024-03-16,invest,1876.0,0.0
1001,2024-04-27,invest,8079.0,0.0
1001,2024-05-02,deposit,38233.0,0.0
1001,2024-04-10,deposit,9311.0,0.0
1002,2024-03-18,deposit,26316.0,0.0
1002,2024-04-19,currency_exchange,0.0,288.0
1002,2024-01-29,invest,2081.0,0.0
1002,2024-01-21,invest,47175.0,0.0
1002,2024-03-08,deposit,46952.0,0.0
1003,2024-05-04,invest,48893.0,0.0
1003,2024-05-07,deposit,2679.0,0.0
1003,2024-04-21,card_spend,-20128.0,0.0
1003,2024-03-30,deposit,45078.0,0.0
1003,2024-05-02,card_spend,-30899.0,0.0
1003,2024-03-17,deposit,36247.0,0.0
1003,2024-05-25,invest,38220.0,0.0
1003,2024-03-24,deposit,15069.0,0.0
1003,2024-05-09,card_spend,-41158.0,0.0
1004,2024-01-02,invest,42975.0,0.0
1004,2024-02-21,invest,28663.0,0.0
1004,2024-01-07,currency_exchange,0.0,267.0
1004,2024-01-15,currency_exchange,0.0,161.0
1004,2024-01-16,invest,36506.0,0.0
1004,2024-01-26,currency_exchange,0.0,332.0
1004,2024-02-17,currency_exchange,0.0,339.0
1004,2024-01-26,deposit,44404.0,0.0
1004,2023-12-26,deposit,13161.0,0.0
1005,2024-04-18,deposit,21358.0,0.0
1005,2024-05-22,invest,39513.0,0.0
1005,2024-05-29,card_spend,-41355.0,0.0
1005,2024-06-12,card_spend,-28384.0,0.0
1005,2024-04-20,deposit,19888.0,0.0
1005,2024-04-08,card_spend,-49816.0,0.0
1005,2024-04-08,card_spend,-33479.0,0.0
1005,2024-04-21,deposit,21150.0,0.0
1005,2024-03-28,card_spend,-3914.0,0.0
1005,2024-04-14,currency_exchange,0.0,71.0
1005,2024-06-07,card_spend,-1698.0,0.0
1006,2024-03-29,deposit,8400.0,0.0
1006,2024-02-28,deposit,36270.0,0.0
1006,2024-03-08,currency_exchange,0.0,393.0
1006,2024-04-01,invest,6486.0,0.0
1006,2024-02-25,invest,38259.0,0.0
1007,2024-03-21,invest,41419.0,0.0
1007,2024-03-22,card_spend,-28192.0,0.0
1007,2024-03-08,deposit,22545.0,0.0
1007,2024-03-27,deposit,38497.0,0.0
1007,2024-02-03,card_spend,-9924.0,0.0
1007,2024-04-13,deposit,7731.0,0.0
1007,2024-02-07,card_spend,-36307.0,0.0
1007,2024-02-15,deposit,2542.0,0.0
1007,2024-03-15,card_spend,-40081.0,0.0
1007,2024-02-07,card_spend,-20065.0,0.0
1007,2024-04-04,deposit,27962.0,0.0
1008,2024-02-23,card_spend,-27256.0,0.0
1008,2024-02-29,currency_exchange,0.0,141.0
1008,2024-01-08,card_spend,-39069.0,0.0
1008,2024-01-28,invest,29178.0,0.0
1008,2024-01-28,invest,21652.0,0.0
1008,2024-01-02,invest,4709.0,0.0
1008,2024-02-16,card_spend,-14116.0,0.0
1008,2024-01-28,card_spend,-43956.0,0.0
1008,2024-02-20,invest,35299.0,0.0
1009,2024-04-05,card_spend,-38797.0,0.0
1009,2024-03-17,card_spend,-46740.0,0.0
1009,2024-04-12,invest,38678.0,0.0
1010,2024-05-10,invest,12003.0,0.0
1010,2024-03-27,invest,14843.0,0.0
1010,2024-04-17,invest,18640.0,0.0
1010,2024-04-09,invest,43356.0,0.0
1010,2024-04-14,invest,20087.0,0.0
1010,2024-05-17,deposit,14323.0,0.0
1010,2024-05-04,currency_exchange,0.0,465.0
1011,2024-05-10,deposit,30703.0,0.0
1011,2024-03-31,invest,20129.0,0.0
1011,2024-04-24,invest,28355.0,0.0
1011,2024-04-05,deposit,39810.0,0.0
1011,2024-04-27,invest,14216.0,0.0
1011,2024-05-18,invest,32471.0,0.0
1011,2024-03-24,deposit,46445.0,0.0
1011,2024-05-16,invest,5804.0,0.0
1012,2024-04-18,deposit,24793.0,0.0
1012,2024-02-17,deposit,28712.0,0.0
1012,2024-03-01,currency_exchange,0.0,186.0
1012,2024-02-23,invest,5158.0,0.0
1012,2024-05-11,currency_exchange,0.0,292.0
1012,2024-04-01,card_spend,-19017.0,0.0
1012,2024-02-13,deposit,48926.0,0.0
1012,2024-02-18,invest,33606.0,0.0
1012,2024-02-17,currency_exchange,0.0,446.0
1012,2024-03-06,card_spend,-11916.0,0.0
1012,2024-04-26,card_spend,-14456.0,0.0
1013,2024-04-30,deposit,35816.0,0.0
1013,2024-04-03,deposit,22949.0,0.0
1013,2024-04-17,invest,43783.0,0.0
1013,2024-03-22,invest,44125.0,0.0
1013,2024-02-15,invest,38131.0,0.0
1013,2024-04-17,invest,42348.0,0.0
1014,2024-04-22,invest,20198.0,0.0
1014,2024-04-12,invest,2252.0,0.0
1014,2024-05-20,invest,27698.0,0.0
1014,2024-04-16,currency_exchange,0.0,201.0
1014,2024-04-03,invest,9017.0,0.0
1014,2024-03-26,invest,11209.0,0.0
1014,2024-04-17,invest,32703.0,0.0
1014,2024-04-16,invest,38660.0,0.0
1014,2024-02-29,invest,20856.0,0.0
